id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,the_largest_ranch_rank_partner_skill_level
1,Lamball,Mian Youyou,smallest,2,,3,0,0,0,0,1,0,0,0,0,0,1,1,160.0,wool,1.0,Rank
2,Cattiva,Naughty cat,smallest,2,,4,0,0,0,0,1,1,0,1,0,0,0,1,160.0,,,
3,Chikipi,Pipi Chicken,smallest,1,,2,0,0,0,0,0,1,0,0,0,0,1,0,,Egg,1.0,Rank
4,Lifmunk,green leaf rat,smallest,1,,5,0,0,1,0,1,1,1,0,1,0,0,0,,,,
5,Foxparks,tinder fox,smallest,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
6,Fuack,surf duck,smallest,2,,3,0,1,0,0,1,0,0,0,0,0,0,1,202.0,,,
7,Sparkit,Volt Meow,smallest,2,,3,0,0,0,1,1,0,0,0,0,0,0,1,270.0,,,
8,Tanzee,Neolepithecus,smallest,2,,5,0,0,1,0,1,1,1,0,0,0,0,1,174.0,,,
9,Rooby,Fire Deer,Small,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
10,Pengullet,Keimaru,smallest,2,,4,0,1,0,0,1,0,0,0,0,1,0,1,265.0,,,
11,Penking,King Keimaru,big,8,,10,0,2,0,0,2,0,0,2,0,2,0,2,280.0,,,
12,Jolthog,electric rat,smallest,2,,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,
12,Jolthog Cryst,ice agouti,smallest,2,,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,
13,Gumoss,Ye NiNi,smallest,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
13,Gumoss (Special),Ye Ni Ni (Special),smallest,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
14,Vixy,Tamamo fox,smallest,1,,2,0,0,0,0,0,1,0,0,0,0,1,0,,Palu Ball Advanced Palu Ball Arrow Gold Coin,,"According to partner skill level 1,2,3,1,2 0,0,0,1,1 1,2,3,4,5 10,20,30,40,50"
15,Hoocrates,Tikar,smallest,3,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
16,Teafant,pot elephant,medium,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
17,Depresso,Look at the devil,smallest,2,,3,0,0,0,0,1,0,0,1,0,0,0,1,100.0,,,
18,Cremis,Miruffy,smallest,2,,2,0,0,0,0,0,1,0,0,0,0,1,0,,wool,1.0,Rank
19,Daedream,sleep demon,smallest,3,,3,0,0,0,0,1,1,0,0,0,0,0,1,220.0,,,
20,Rushoar,sage pig,Small,3,,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,
21,Nox,Lunati,smallest,2,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
22,Fuddler,Escape Rat,smallest,2,,3,0,0,0,0,1,0,0,1,0,0,0,1,240.0,,,
23,Killamari,squid,smallest,3,,3,0,0,0,0,0,1,0,0,0,0,0,2,260.0,,,
24,Mau,Meowster,smallest,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,,gold,10.0,Rank*10
24,Mau Cryst,ice cream,smallest,1,,2,0,0,0,0,0,0,0,0,0,1,1,0,,gold,10.0,Rank*10
25,Celaray,Rumiel,medium,3,,2,0,1,0,0,0,0,0,0,0,0,0,1,350.0,,,
26,Direhowl,hunting wolves,Small,3,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
27,Tocotoco,Fried egg bird,Small,2,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
28,Flopie,Bona Rabbit,smallest,3,,5,0,0,1,0,1,1,0,0,1,0,0,1,250.0,,,
29,Mozzarina,Boba Cow,Small,3,,1,0,0,0,0,0,0,0,0,0,0,1,0,,milk,1.0,Rank
30,Bristla,Thorn Fairy,Small,5,,6,0,0,1,0,1,1,0,0,2,0,0,1,250.0,,,
31,Gobfin Ignis,red shark,Small,3,,4,2,0,0,0,1,0,0,0,0,0,0,1,120.0,,,
31,Gobfin,Sharkboy,Small,3,,4,0,2,0,0,1,0,0,0,0,0,0,1,120.0,,,
32,Hangyu Crystal,Icebound Spirit,smallest,2,,5,0,0,0,0,1,1,0,0,0,1,0,2,250.0,,,
32,Hangyu,Hanging spirit,smallest,2,,4,0,0,0,0,1,1,0,0,0,0,0,2,250.0,,,
33,Mossanda,Ye Panda,big,5,,9,0,0,2,0,2,0,2,0,0,0,0,3,275.0,,,
33,Mossanda Lux,Lei Panda,big,5,,9,0,0,0,2,2,0,2,0,0,0,0,3,275.0,,,
34,Woolipop,Marshmallow,Small,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,,Marshmallow,1.0,Rank
35,Caprity,bush sheep,Small,4,,3,0,0,2,0,0,0,0,0,0,0,1,0,,red wild berries,1.0,Rank
36,Melpaca,Melupa,medium,3,,1,0,0,0,0,0,0,0,0,0,0,1,0,,wool,2.0,1+Rank
37,Eikthyrdeer,Zixia Deer,big,5,,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,
37,Eikthyrdeer Terra,Only a deer,big,5,,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,
38,Nitewing,Swift Falcon,big,7,,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,
39,Ribunny,Ji Xiaotu,smallest,2,,3,0,0,0,0,1,1,0,0,0,0,0,1,172.0,,,
40,Incineram,Balrog Sheep,medium,4,,6,1,0,0,0,2,0,0,1,0,0,0,2,320.0,,,
40,Incineram Noct,Dark Demon Sheep,medium,4,,5,0,0,0,0,2,0,0,1,0,0,0,2,320.0,,,
41,Cinnamoth,Huan Yue Butterfly,medium,3,,3,0,0,2,0,0,0,0,0,1,0,0,0,,,,
42,Arsox,Blazing Ox,medium,5,,3,2,0,0,0,0,0,1,0,0,0,0,0,,,,
43,Dumud,Pa Pa Pa Catfish,medium,4,,4,0,1,0,0,0,0,0,2,0,0,0,1,300.0,,,
44,Cawgnito,Black Crow Hermit,medium,5,,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,
45,Leezpunk Ignis,Hot-blooded lizard,Small,3,,4,1,0,0,0,1,1,0,0,0,0,0,1,270.0,,,
45,Leezpunk,punk lizard,Small,3,,3,0,0,0,0,1,1,0,0,0,0,0,1,270.0,,,
46,Loupmoon,Moonscythe Demon,medium,5,,2,0,0,0,0,2,0,0,0,0,0,0,0,,,,
47,Galeclaw,Tianqinniao,medium,4,,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,
48,Robinquill,Feather Archer,medium,3,,9,0,0,1,0,2,2,1,0,1,0,0,2,400.0,,,
48,Robinquill Terra,mountain shooter,medium,3,,8,0,0,0,0,2,2,1,0,1,0,0,2,400.0,,,
49,Gorirat,Iron Fist Ape,Small,3,,6,0,0,0,0,1,0,2,0,0,0,0,3,250.0,,,
50,Beegarde,knight bee,medium,3,,8,0,0,1,0,1,1,1,0,1,0,1,2,350.0,Honey,1.0,Rank
51,Elizabee,queen bee,big,7,,9,0,0,2,0,2,2,1,0,2,0,0,0,,,,
52,Grintale,Laughing Nightmare Cat,big,4,,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,
53,Swee,Mao duster,smallest,2,,2,0,0,0,0,0,1,0,0,0,1,0,0,,,,
54,Sweepa,Dad Mao,big,3,,4,0,0,0,0,0,2,0,0,0,2,0,0,,,,
55,Chillet,Whirling Weasel,medium,3,,2,0,0,0,0,0,1,0,0,0,1,0,0,,,,
56,Univolt,thunder wildebeest,medium,5,,3,0,0,0,2,0,0,1,0,0,0,0,0,,,,
57,Foxcicle,blowing snow fox,Small,3,,2,0,0,0,0,0,0,0,0,0,2,0,0,,,,
58,Pyrin,fire unicorn,big,5,,3,2,0,0,0,0,0,1,0,0,0,0,0,,,,
58,Pyrin Noct,evil unicorn,big,5,,3,2,0,0,0,0,0,1,0,0,0,0,0,,,,
59,Reindrix,Deer in severe winter,medium,7,,4,0,0,0,0,0,0,2,0,0,2,0,0,,,,
60,Rayhound,thunder dog,medium,5,,2,0,0,0,2,0,0,0,0,0,0,0,0,,,,
61,Kitsun,Blue Flame Wolf,medium,4,,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,
62,Dazzi,Thunder Boy,smallest,2,,3,0,0,0,1,1,0,0,0,0,0,0,1,300.0,,,
63,Lunaris,Mystia,medium,2,,5,0,0,0,0,3,1,0,0,0,0,0,1,315.0,,,
64,Dinossom,Corolla dragon,big,6,,5,0,0,2,0,0,0,3,0,0,0,0,0,,,,
64,Dinossom Lux,Thunder Guanlong,big,6,,4,0,0,0,2,0,0,2,0,0,0,0,0,,,,
65,Surfent,water-sliding snake,medium,5,,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,
65,Surfent Terra,quicksand snake,medium,5,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
66,Maraith,Soul Eater,medium,3,,3,0,0,0,0,0,2,0,1,0,0,0,0,,,,
67,Digtoise,Rock Crusher Turtle,medium,5,,3,0,0,0,0,0,0,0,3,0,0,0,0,,,,
68,Tombat,cat bat monster,medium,5,,6,0,0,0,0,0,2,0,2,0,0,0,2,270.0,,,
69,Lovander,fraternity lizard,big,5,,7,0,0,0,0,2,0,0,1,2,0,0,2,460.0,,,
70,Flambelle,Rong Yan Niang,smallest,2,,4,1,0,0,0,1,0,0,0,0,0,1,1,140.0,fire breathing organ,1.0,Rank
71,Vanwyrm,Fenggelong,big,6,,4,1,0,0,0,0,0,0,0,0,0,0,3,475.0,,,
71,Vanwyrm Cryst,Frost Song Dragon,big,6,,5,0,0,0,0,0,0,0,0,0,2,0,3,475.0,,,
72,Bushi,Wave Blade Samurai,medium,4,,9,2,0,0,0,1,1,3,0,0,0,0,2,320.0,,,
73,Beakon,Thunderbird,big,7,,6,0,0,0,2,0,1,0,0,0,0,0,3,375.0,,,
74,Ragnahawk,Flamingo,big,7,,6,3,0,0,0,0,0,0,0,0,0,0,3,375.0,,,
75,Katress,dark witch cat,medium,5,,6,0,0,0,0,2,0,0,0,2,0,0,2,292.0,,,
76,Wixen,Flame Witch Fox,medium,5,,7,2,0,0,0,3,0,0,0,0,0,0,2,292.0,,,
77,Verdash,spring rabbit,medium,3,,12,0,0,2,0,3,3,2,0,0,0,0,2,275.0,,,
78,Vaelet,Verita,medium,3,,10,0,0,2,0,2,2,0,0,3,0,0,1,275.0,,,
79,Sibelyx,silk moth,big,5,,5,0,0,0,0,0,0,0,0,2,2,1,0,,high quality cloth,1.0,Rank
80,Elphidran,Faerie Dragon,big,6,,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,
80,Elphidran Aqua,Water Spirit Dragon,big,6,,5,0,3,0,0,0,0,2,0,0,0,0,0,,,,
81,Kelpsea Ignis,Huo Linger,smallest,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
81,Kelpsea,Shui Linger,smallest,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
82,Azurobe,Bihailong,big,6,,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,
83,Cryolinx,Ice Thorn Beast,big,7,,6,0,0,0,0,1,0,2,0,0,3,0,0,,,,
84,Blazehowl,Hellfire King,big,7,,5,3,0,0,0,0,0,2,0,0,0,0,0,,,,
84,Blazehowl Noct,Hell King,big,7,,5,3,0,0,0,0,0,2,0,0,0,0,0,,,,
85,Relaxaurus,Pecorone,maximum,7,,3,0,2,0,0,0,0,0,0,0,0,0,1,150.0,,,
85,Relaxaurus Lux,Parker,maximum,7,,4,0,0,0,3,0,0,0,0,0,0,0,1,150.0,,,
86,Broncherry,Lian Lilong,maximum,7,,3,0,0,3,0,0,0,0,0,0,0,0,0,,,,
86,Broncherry Aqua,Allother,maximum,7,,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,
87,Petallia,Hualina,medium,3,,10,0,0,3,0,2,2,0,0,2,0,0,1,350.0,,,
88,Reptyro,Lava Beast,big,5,,6,3,0,0,0,0,0,0,3,0,0,0,0,,,,
88,Ice Reptyro,Frost Beast,big,5,,6,0,0,0,0,0,0,0,3,0,3,0,0,,,,
89,Kingpaca,King Melupa,maximum,7,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
89,Ice Kingpaca,Ice Emperor Melpa,maximum,7,,4,0,0,0,0,0,1,0,0,0,3,0,0,,,,
90,Mammorest,Mammoth,maximum,8,,6,0,0,2,0,0,0,2,2,0,0,0,0,,,,
90,Mammorest Cryst,snow mammoth,maximum,8,,6,0,0,0,0,0,0,2,2,0,2,0,0,,,,
91,Wumpo Botan,Green Moss Velvet,big,8,,10,0,0,1,0,2,0,3,0,0,0,0,4,150.0,,,
91,Wumpo,White Velvet Snow Monster,big,8,,11,0,0,0,0,2,0,3,0,0,2,0,4,150.0,,,
92,Warsect,Kaigres,big,6,,8,0,0,1,0,1,0,3,0,0,0,0,3,110.0,,,
93,Fenglope,Cloud sea deer,Small,6,,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,
94,Felbat,Night Mephit,medium,5,,3,0,0,0,0,0,0,0,0,3,0,0,0,,,,
95,Quivern,Tianyulong,big,4,,8,0,0,0,0,1,2,0,2,0,0,0,3,470.0,,,
96,Blazamut,Flame Glory,maximum,9,,7,3,0,0,0,0,0,0,4,0,0,0,0,,,,
97,Helzephyr,Thunderbird,big,8,,3,0,0,0,0,0,0,0,0,0,0,0,3,450.0,,,
98,Astegon,Demon Dragon,maximum,9,,5,0,0,0,0,1,0,0,4,0,0,0,0,,,,
99,Menasting,Dark Armored Scorpion,big,7,,5,0,0,0,0,0,0,2,3,0,0,0,0,,,,
100,Anubis,Anubis,medium,6,,9,0,0,0,0,4,0,0,3,0,0,0,2,480.0,,,
101,Jormuntide Ignis,Teng Yanlong,maximum,7,,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,
101,Jormuntide,Sea-covering dragon,maximum,7,,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,
102,Suzaku,Suzaku,maximum,8,,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,
102,Suzaku Aqua,Qingque,maximum,8,,3,0,3,0,0,0,0,0,0,0,0,0,0,,,,
103,Grizzbolt,Lightning Bear,big,7,,10,0,0,0,3,2,0,2,0,0,0,0,3,210.0,,,
104,Lyleen,lily queen,big,6,,12,0,0,4,0,3,2,0,0,3,0,0,0,,,,
104,Lyleen Noct,black moon queen,big,6,,8,0,0,0,0,3,2,0,0,3,0,0,0,,,,
105,Faleris,Horus,big,8,,6,3,0,0,0,0,0,0,0,0,0,0,3,500.0,,,
106,Orserk,Pollux,big,7,,9,0,0,0,4,2,0,0,0,0,0,0,3,250.0,,,
107,Shadowbeak,Heterogeneous Griffin,big,8,,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,
108,Paladius,Knight of Light,big,9,,4,0,0,0,0,0,0,2,2,0,0,0,0,,,,
109,Necromus,Chaos Knight,big,9,,4,0,0,0,0,0,0,2,2,0,0,0,0,,,,
110,Frostallion,Winter Caller,big,7,,4,0,0,0,0,0,0,0,0,0,4,0,0,,,,
110,Frostallion Noct,Night Caller,big,7,,4,0,0,0,0,0,4,0,0,0,0,0,0,,,,
111,Jetragon,Vortex Dragon,maximum,9,,3,0,0,0,0,0,3,0,0,0,0,0,0,,,,
